
база катып жатат | перезагрузите компьютер и проверьте интернет
Как рассчитывается сумма сооплаты пациента в Sanarip Clinic? | Расчет выполняется по кнопке «Получить данные о сооплате» с учетом статуса ОМС, профиля ОЗ, льгот, типа госпитализации, операций и числа госпитализаций за год.
Что делать, если после расчета сооплаты изменились данные пациента? | Измените данные в КСФ, повторно нажмите кнопку «Получить данные о сооплате», а затем нажмите «Сгенерировать талон» для сохранения перерасчета.
Куда поступает КСФ после того, как врач выписал пациента? | После оформления выписки пациента форма КСФ автоматически переходит в статус «На рассмотрении у заведующего» в Реестре КСФ.
Кто имеет право редактировать данные в клинико-статистической форме КСФ? | Редактировать форму КСФ имеет право только лечащий врач, сформировавший данный документ.
Каковы функции заведующего отделением при работе с КСФ? | Заведующий проверяет качество заполнения КСФ, согласовывает форму для передачи в МИО или возвращает её лечащему врачу на доработку с комментарием.
Каковы функции сотрудника МИО при обработке КСФ? | Сотрудник медицинского информационного отдела проводит финальную проверку формы, согласовывает её и отправляет в базу данных ФОМС.
Какая роль у врача стационара при работе с листом назначений? | Врач стационара имеет доступ к просмотру, редактированию назначений и формированию направлений на обследования.
Каковы права доступа медсестры стационара к лабораторным исследованиям? | Медсестра имеет доступ к просмотру результатов лабораторных и инструментальных исследований, но не к их формированию.
Какое право доступа есть у акушера в отличие от обычной медсестры? | Акушер имеет дополнительный доступ к заполнению и редактированию раздела «Течение родов» в стационарной карте.
Какие статусы оплаты может вернуть ФОМС после обработки КСФ? | ФОМС присваивает случаю статус «Оплачены» при принятии к оплате либо «Не оплачены» при отказе в возмещении средств.
Что такое МИС Sanarip Clinic? | Это медицинская информационная система Кыргызстана, предназначенная для повышения качества обслуживания, стандартизации рабочих процессов и автоматизации ведения медицинской документации.
Каким приказом утверждена форма №003-3/У в МИС Sanarip Clinic? | Форма №003-3/У разработана во исполнение приказа Министерства здравоохранения Кыргызской Республики №562 от 13.09.2024 года.
Какие основные модули входят в систему Sanarip Clinic? | В систему входят модули: Приписанное население, Онлайн запись, Цифровая амбулаторная и стационарная карты, Регистры контрацепции и ГВГ, Направление на МСЭК, Пере-направление, Инструментальные исследования, Школа здоровья, ЛВН и Контроль качества.
Для чего предназначен модуль База данных приписанного населения? | Модуль хранит сведения о приписанном населении, включая паспортные и адресные данные, льготы, социальный статус и медицинские показания.
Каковы функции модуля Онлайн запись на прием? | Модуль позволяет записывать пациентов на прием к врачу и формировать талоны на прием в организации здравоохранения.
С какими системами интегрирована Цифровая амбулаторная карта? | Карта интегрирована с ЛИС ILab, ИС ДЛСиМИ, Электронный рецепт, стационарной картой, ЛВН, регистрами контрацепции и гепатитов, МСЭК, Школой здоровья и инструментальными исследованиями.
Каковы функции модуля Регистр гемоконтактных вирусных гепатитов? | Модуль обеспечивает подтверждение и постановку на учет пациентов с ГВГ, ведение индивидуальных карточек и журналов учета пациентов.
Для чего предназначен модуль Направление на МСЭК? | Модуль служит для формирования заявок (формуляр МСЭК) на прохождение комиссии и ведения реестра пациентов с ограниченными возможностями здоровья (ЛОВЗ).
Каковы функции модуля Пере-направление? | Модуль формирует направления пациентов на консультацию и госпитализацию в другие организации здравоохранения, а также акты по случаям необоснованного направления.
Каковы возможности модуля Школа здоровья? | Модуль позволяет создавать курсы и группы обучающихся, вводить данные о состоянии здоровья пациентов до и после обучения и вести реестр проученных пациентов.
Куда передаются данные Листа временной нетрудоспособности из системы Sanarip Clinic? | Сформированный и подтвержденный лист временной нетрудоспособности передается в личный кабинет пациента в государственном приложении Тундук.
Как работает модуль Контроль качества? | Модуль осуществляет случайный отбор амбулаторных карт, заполнение электронных оценочных карт, ведение реестра оценок и формирование отчетов.
Каким логином специалист входит в МИС Sanarip Clinic? | Логином для входа специалиста в систему является его ПИН (персональный идентификационный номер).
Кто имеет право создавать учетные записи специалистов в системе? | Доступ к функционалу создания и редактирования учетных записей специалистов открывается руководителем или заведующим отделением.
Чем отличаются права доступа врача и медсестры в амбулаторной карте? | Врач имеет полный доступ к осмотру, постановке диагнозов и рецептам, а медсестра — к просмотру и редактированию карты, выписке направлений и регистрации пациентов.
Какими правами обладает Заведующий отделением в стационаре? | Заведующий может назначать лечащего врача, редактировать карту, вести лист назначений, выписывать ЛВН и направлять на анализы и исследования.
Что доступно акушеру в цифровой стационарной карте? | Акушер имеет доступ к заполнению раздела течение родов, просмотру карты, листу назначений с отметкой о выполнении и просмотру результатов анализов.
Как принять пациента на амбулаторный осмотр из очереди? | Перейдите в раздел Прием – В ожидании, найдите пациента в списке и нажмите кнопку Принять.
В чем разница между обращением и посещением в амбулаторной карте? | Обращение — это общий повод визита (заболевание, профосмотр), а посещение — очередной визит или консультация специалиста в рамках этого обращения.
Как отредактировать данные посещения в амбулаторной карте? | В разделе Случай поликлинического обслуживания нажмите кнопку редактирования. Отредактировать можно только последнее посещение.
Как в амбулаторной карте заполняются Данные осмотра (дневник)? | Нажмите кнопку Добавить, выберите нужный раздел объективного статуса, нажмите оранжевый карандаш, заполните поля справочников и нажмите синюю кнопку Сохранить.
Какие диагностические калькуляторы доступны в Sanarip Clinic? | В системе доступны калькуляторы: Тест Фагерстрома, Тест Findrisk, Тест Астма, Тест ХОБЛ и Тест Номограмма.
Как назначить лабораторный анализ в амбулаторной карте? | В разделе Процедуры, манипуляции и анализы нажмите Добавить, укажите дату, время, группу анализа и выберите анализ из списка, затем нажмите Сохранить.
Как внести результаты анализов из сторонней лаборатории вручную? | Откройте подраздел Лабораторные анализы (ручной ввод), нажмите Добавить, заполните поля и введите результат.
Как направить пациента на инструментальное обследование? | Перейдите в раздел Инструментальные обследования, нажмите Направить, выберите категорию и вид исследования из списка и сохраните.
Как указать диагноз по МКБ-10 в амбулаторной карте? | В разделе Диагноз, установленный врачом нажмите оранжевый карандаш, найдите диагноз по коду или наименованию, при необходимости добавьте сопутствующие диагнозы и сохраните.
Как добавить конкурирующий диагноз в карту пациента? | Нажмите кнопку Конкурирующий диагноз в блоке диагнозов, после чего откроются дополнительные поля для ввода диагноза и его осложнений.
Как назначить немедикаментозное лечение или консультацию? | В разделе Рекомендации выберите Немедикаментозное лечение, нажмите кнопку редактирования, укажите нужную консультацию из списка и сохраните.
Как назначить лекарственное средство в амбулаторной карте? | В разделе Рекомендации нажмите Назначить ЛС, заполните форму в модальном окне и нажмите Сохранить.
Какими способами можно зарегистрировать пациента в стационаре? | Регистрация возможна по ПИН, по ФИО, по номеру полиса ОМС или без ПИН (для незарегистрированных или экстренных пациентов).
Как обновить данные пациента, зарегистрированного первоначально без ПИН? | Перейдите в раздел Профиль пациента, нажмите Изменить пациента и введите актуальные данные после идентификации.
Где отследить перемещение пациента между отделениями стационара? | Движение пациента отображается в разделе Маршрут пациента, где также доступен этапный эпикриз по кнопке Выписка.
Как оформить согласие или отказ от медицинских услуг в стационаре? | В соответствующем разделе нажмите Согласие или Отказ, заполните форму в модальном окне, сохраните, распечатайте и подпишите документ.
Из каких блоков состоит оцифрованная партограмма родовой деятельности? | Партограмма включает три блока: Латентная фаза родов, Активная фаза родов и Родоразрешение.
Как внести данные в партограмму латентного или активного периода родов? | Нажмите Добавить запись, укажите дату и время (они не могут быть раньше предыдущих записей), заполните клинические показатели и сохраните.
Как назначить индукционную терапию в партограмме родов? | В блоке Решение нажмите знак плюс, выберите медикамент (например, Окситоцин), укажите дозу и скорость введения в комментарии и сохраните.
В какой фазе родов партограмма строит графические диаграммы? | В активной фазе родов система автоматически строит графики динамики ЧСС роженицы, ЧСС плода и артериального давления.
Как внести данные о завершении родов в стационаре? | В блоке Родоразрешение нажмите плюс Роды, заполните форму исхода родов (пол ребенка, вес, кровопотеря) и нажмите Сохранить.
Как добавить данные об операционном вмешательстве в стационаре? | В разделе Специальные клинические манипуляции перейдите в Хирургическая карта, нажмите Добавить, заполните ход операции и состав бригады, затем сохраните.
Как сделать отметку о выполнении процедуры или манипуляции медсестрой? | В разделе Процедуры и манипуляции найдите назначение, выберите Действие - Выполнить, заполните описание и дату/время выполнения и сохраните.
Как назначить лекарство с несколькими приемами в день в стационаре? | Заполните путь, время, препарат и дозу, затем нажмите Добавить кратность для формирования второго времени приема.
Как оформить химическую смесь при назначении лекарственных средств? | В модальном окне назначения ЛС нажмите значок плюс, после чего появится дополнительное поле для выбора второго препарата смеси.
Как выполнить госпитализацию пациента в стационаре? | В шапке истории болезни нажмите кнопку Госпитализировать, выберите отделение из списка в модальном окне и нажмите Сохранить.
Как перенаправить пациента в другую организацию здравоохранения? | В шапке амбулаторной или стационарной карты нажмите Направление, выберите медицинскую организацию, цель и врача, затем сохраните.
Как выписать пациента из стационара? | В шапке карты нажмите Выписать, укажите исход лечения, рекомендации к выписке, заполните при необходимости ЛВН и подтвердите выписку.
Как закрыть амбулаторное обращение пациента? | В шапке амбулаторной карты нажмите кнопку Закрыть обращение, выберите причину закрытия из списка и подтвердите действие.
Что обязан сделать медработник перед заполнением формы №003-3/У при подозрении на насилие? | Врач обязан проинформировать пациента о целях осмотра, конфиденциальности, передаче данных в правоохранительные органы и получить письменное согласие.
Как в Sanarip Clinic открыть форму медицинского осмотра по поводу насилия и пыток? | При выявлении случаев насилия или пыток нажмите кнопку Форма №003-3/У в шапке карты пациента.
Что делать, если пациент отказался давать согласие на осмотр по форме №003-3/У? | Заполните текстовое поле с пояснениями причин отказа пациента, при этом оцените объективный статус и окажите необходимую медицинскую помощь.
Из каких основных подразделов состоит форма №003-3/У в МИС Sanarip Clinic? | Форма включает подразделы: Общая информация, Согласие пациента, Участники осмотра, Сведения о лишении свободы, Дневник осмотра, Осмотр поверхности тела и Выводы.
Какая информация вносится в подраздел Общая информация формы №003-3/У? | Указываются подробные обстоятельства применения насилия (где, когда, кто, оружие, методы), ограничения при осмотре и предоставленные меддокументы.
Как добавить участников осмотра в форму №003-3/У? | В подразделе Участники осмотра нажмите Добавить участника осмотра, введите ПИН (или ФИО вручную), указав его должность, организацию и тип.
Как зафиксировать телесные повреждения на схеме тела в форме №003-3/У? | В подразделе Осмотр поверхности тела выберите нужную область (тело, рот, промежность), кликните на участок, введите описание повреждения и сохраните.
Как прикрепить фотографии телесных повреждений в форму №003-3/У? | В таблице осмотра поверхности тела нажмите оранжевый карандаш в столбце Дополнить, заполните сведения и загрузите фото через кнопку Выберите файл.
Как сформировать и отправить выводы по осмотру формы №003-3/У? | В подразделе Выводы нажмите оранжевый карандаш, укажите необходимость консультации, госпитализации, степень соответствия, напишите текст выводов и нажмите Отправить.
Что такое Реестр форм №003-3/У (Стамбульский протокол)? | Это электронный журнал всех отправленных форм №003-3/У для поиска, фильтрации, просмотра и подписания документов руководителем.
Что означает желтый цвет индикации формы в реестре Стамбульского протокола? | Желтый цвет означает, что форма №003-3/У была заполнена и отправлена врачом, но еще не подписана руководителем.
Что означает зеленый цвет индикации формы в реестре Стамбульского протокола? | Зеленый цвет означает, что форма №003-3/У подписана руководителем с помощью КОЭП и автоматически передана в правоохранительные органы.
Кто имеет право подписывать форму №003-3/У квалифицированной облачной подписью? | Форму подписывает специалист с ролью Руководитель, имеющий квалифицированную облачную электронную подпись (КОЭП).
Для чего предназначен модуль «Экспертная оценка медицинских карт»? | Модуль используется для проведения внутреннего клинического аудита и оценки качества заполнения амбулаторных карт экспертами с автоматическим подсчетом баллов и дефектов.
Кто является целевой аудиторией системы Sanarip Clinic? | Руководство и медицинский персонал ПМСП, сотрудники Фонда обязательного медицинского страхования (ФОМС) и Министерства здравоохранения Кыргызской Республики.
Как связаться со службой технической поддержки системы? | Обратитесь в Центр электронного здравоохранения по телефону 0312 66-05-35 или отправьте официальное письмо через Систему электронного документооборота (СЭД).
Каковы технические требования для работы в системе? | Для работы необходим компьютер или ноутбук с доступом в интернет и современный браузер, например Google Chrome или Mozilla Firefox.
Как войти в систему Sanarip Clinic? | Перейдите по адресу https://mis.med.kg/, нажмите кнопку «Личный кабинет», введите логин и пароль, выданные в регистратуре вашей организации, и нажмите «Войти».
Из каких основных элементов состоит интерфейс системы? | Интерфейс содержит боковое меню навигации слева, центральную рабочую область с данными и верхнюю панель инструментов с кнопками быстрого доступа.
По каким критериям проводится оценка качества заполнения амбулаторных карт? | Оценка выполняется по полноте заполнения обязательных полей, точности введённых данных (даты, коды диагнозов), а также логичности и последовательности записей.
Каковы возможности руководителя организации здравоохранения в модуле аудита? | Руководитель может просматривать статистику дефектов по организациям и врачам, а также сравнивать показатели головной и дочерних организаций.
Какая информация доступна в подразделе «Дефекты»? | В этом подразделе отображаются данные организаций по количеству проверенных амбулаторных карт, среднему баллу и проценту дефектных карт.
Как просмотреть подробную оценку конкретной амбулаторной карты? | В подразделе дефектов нажмите кнопку «Действия» нужной организации, выберите «Просмотр» и затем нажмите «Просмотр» напротив интересующей записи.
Как открыть амбулаторную карту пациента при проверке выставленных оценок? | В окне заполненной анкеты нажмите кнопку «Просмотр МКАБ», чтобы убедиться в объективности оценки качества документации.
Для чего предназначен подраздел «Дефекты по врачам»? | Подраздел позволяет руководителю детально проанализировать ошибки конкретных врачей при заполнении карт и принять меры по улучшению качества работы.
Можно ли экспортировать данные по дефектам врачей из системы? | Да, информацию о дефектах по врачам можно выгрузить в формате Excel с помощью специальной кнопки.
Что отображается в подразделе «Сводный по дефектам»? | Раздел содержит сводную таблицу по организациям здравоохранения с детальным распределением дефектов по каждому анкетному вопросу и возможностью экспорта в Excel.
Зачем нужна функция «Диаграмма» в разделе оценки качества? | Функция строит интерактивную столбчатую диаграмму дефектов по организациям, позволяя наведением мыши увидеть общее количество ошибок в каждой из них.
Для чего используется подраздел «Дефекты (очное)»? | Данный подраздел предоставляет статистику и аналитику по дефектам заполнения карт, аналогичную разделу «Дефекты», но сформированную по результатам очных аудитов.
В чём заключается роль эксперта в системе? | Эксперт осуществляет непосредственную оценку качества заполнения амбулаторных карт, проводит заочные и очные аудиты и заполняет оценочные анкеты.
Как сформировать список карт для заочного аудита МКАБ? | Перейдите в раздел «Аудит МКАБ», нажмите «Сформировать список МКАБ», выберите организацию, укажите тип заболевания при необходимости и нажмите «Сохранить».
По каким заболеваниям можно отфильтровать карты при формировании списка МКАБ? | Можно выбрать карты пациентов с гипертонической болезнью, сахарным диабетом, ХОБЛ, астмой, туберкулезом, а также карты беременных и детей до 6 лет.
Как начать проведение оценки амбулаторной карты экспертом? | В сформированном списке медицинских карт нажмите кнопку «Анкеты», после чего выберите «Начать оценку».
Где при проведении аудита отображаются персональные данные пациента? | В верхнем правом углу экрана амбулаторной карты пациента указываются его пол и дата рождения.
Где находится иконка для вызова оценочной анкеты? | Иконка анкеты расположена в правом нижнем углу экрана при просмотре амбулаторной карты пациента.
Можно ли временно скрыть анкету эксперта при изучении карты? | Да, в окне анкеты нажмите кнопку «Скрыть», чтобы изучить медицинские данные пациента, а затем вернитесь к выставлению оценок.
Как сохранить результаты проведенного аудита амбулаторной карты? | Заполните все пункты анкеты и нажмите кнопку «Сохранить» в нижней части формы.
Как провести очный аудит работы врача? | В подразделе «Очный аудит» нажмите «Сформировать список МКАБ», выберите организацию и врача, заполните анкету на приёме и нажмите «Сохранить».
С каких устройств эксперт может заполнять анкету очного аудита? | Заполнение анкеты очного аудита можно выполнять непосредственно во время приёма прямо со смартфона, ноутбука или ПК.
Какая информация доступна врачу в подразделе «Моя статистика»? | Врач может просматривать статистику по своим оценённым картам за выбранный период для анализа качества работы и устранения недочётов.
Какие данные видит врач в статистике заочного аудита МКАБ? | Отображается количество принятых, непринятых пациентов и доп. приёмов, общее число проверенных карт, средний балл, процент дефектов и рекомендации.
Что делать, если не получается войти в систему Sanarip Clinic? | Проверьте правильность ввода логина и пароля. Если зайти все равно не удается, обратитесь к администратору системы вашей организации.
Почему система выдаёт ошибку при попытке сохранить заполненную анкету? | Убедитесь, что заполнены абсолютно все поля анкеты. Если проблема сохраняется, обратитесь в службу поддержки Центра электронного здравоохранения.
Что делать, если система Sanarip Clinic зависает или работает слишком медленно? | Перезагрузите ваш компьютер. Если проблема не исчезла, свяжитесь с представителем вашего интернет-провайдера.
Что такое модуль еСОМу в Sanarip Clinic? | Единая система оплаты медицинских услуг (еСОМу) — модуль системы Sanarip Clinic для формирования и обработки счетов за медуслуги, учета расчетных счетов и их привязки к кодам бюджетной классификации.
Для кого предназначено руководство по модулю еСОМу? | Руководство предназначено для сотрудников бухгалтерии организаций здравоохранения, ответственных за настройку расчетных счетов, ведение локальных и национальных прейскурантов.
Какие технические требования нужны для работы с еСОМу? | Требуется ПК или ноутбук с доступом в интернет и современным веб-браузером, например Google Chrome или Mozilla Firefox.
Где взять логин и пароль для входа в Sanarip Clinic? | Учетные данные (логин и пароль) предоставляются регистратурой либо руководителем вашей медицинской организации.
Какие подразделы доступны бухгалтеру в модуле еСОМу? | Для бухгалтерии доступны подразделы «Профиль ОЗ», «Реестр счетов», «Прейскурант цен» и «Юридические лица».
Как привязать расчетный счет к КБК в Профиле ОЗ? | Перейдите в подраздел «Профиль ОЗ», нажмите «Добавить», укажите код бюджетной классификации, расчетный счет и БИК, затем нажмите «Сохранить».
Какие данные указываются при добавлении расчетного счета организации? | Необходимо указать код бюджетной классификации (КБК), соответствующий расчетный счет и БИК.
Как открыть окно создания локального прейскуранта? | Перейдите в раздел «Прейскурант цен», выберите подраздел «Локальный прейскурант» и нажмите кнопку «Добавить».
Какие поля заполняются при добавлении услуги в локальный прейскурант? | Заполняются наименование услуги, классификатор из справочника nsi.med.kg (при наличии), стоимость и код бюджетной классификации.
Где найти классификатор для медицинских услуг локального прейскуранта? | Классификатор берется из единого реестра медицинских справочников на портале nsi.med.kg.
Как отредактировать медицинскую услугу в локальном прейскуранте? | В таблице локального прейскуранта нажмите кнопку редактирования напротив услуги, измените нужные данные и сохраните изменения.
Как удалить услугу из локального прейскуранта? | Нажмите кнопку удаления напротив услуги в локальном прейскуранте. Услуга удалится и перестанет отображаться при формировании счетов.
Как выбрать и закрепить услуги из национального прейскуранта? | В подразделе «Национальный прейскурант» отметьте галочками предоставляемые услуги, назначьте им КБК и нажмите кнопку «Сохранить».
Как найти услугу в национальном прейскуранте? | Используйте строку поиска в верхней части страницы, введя код НСИ или наименование медицинской услуги.
Почему обязательно указывать КБК для услуг национального прейскуранта? | Указание КБК обязательно для правильного формирования счетов и корректного учета поступающих оплат.
Какими двумя способами можно назначить КБК в национальном прейскуранте? | КБК можно назначить индивидуально для каждой услуги в её строке или массово для нескольких отмеченных услуг через поле «Назначить КБК выбранным».
Как массово привязать КБК к нескольким услугам национального прейскуранта? | Отметьте нужные услуги галочками, выберите КБК в поле «Назначить КБК выбранным» и нажмите кнопку «Применить».
Зачем нужен подраздел Справочник организаций? | Он предназначен для ведения данных юридических лиц и организаций, с которыми медорганизация сотрудничает при оказании услуг и формировании счетов.
Какие сводные показатели есть в Справочнике организаций? | В верхней части страницы выведены показатели: «Всего организаций», «Активных», «Приостановлено» и «На странице».
Как искать юридическое лицо в Справочнике организаций? | Поиск выполняется с помощью фильтров по наименованию организации, ИНН/ОКПО, номеру телефона или статусу.
Как сбросить фильтры поиска в Справочнике организаций? | Нажмите кнопку «Сбросить фильтры», чтобы очистить параметры поиска и отобразить полный список организаций.
Как внести новую компанию в Справочник организаций? | Нажмите кнопку «Добавить организацию» и заполните форму с реквизитами юридического лица и данными о договоре.
Какие сведения содержатся в карточке организации в справочнике? | В карточке отображаются наименование, юридический адрес, ИНН/ОКПО, контакты, номер и дата договора, банковские реквизиты и примечания.
Какие действия доступны для организаций в справочнике юридических лиц? | Для каждой организации доступны кнопки просмотра карточки, редактирования сведений и приостановления действия.
Для чего предназначен подраздел Реестр платежей? | Подраздел используется для просмотра, поиска и контроля счетов юридических лиц, а также для отслеживания статусов их оплаты.
Какие показатели выведены в верхней части Реестра платежей? | Отображаются показатели: «Всего счетов», «Не оплачено», «Оплачено», «Отменено» и «Общая сумма».
